seed,selected_feature_indices,selected_feature_count,selected_feature_ratio,accuracy,precision,recall,f1,roc_auc,runtime_seconds,best_fitness,final_generation
0,"[0, 1, 5, 7, 11, 14, 15, 18, 21, 22, 23, 25, 26]",13,0.4333,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9940476190476191,29.97,0.970368,6
1,"[4, 6, 11, 13, 14, 16, 19, 21, 23, 27, 28, 29]",12,0.4,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9905753968253969,27.65,0.974481,8
2,"[1, 2, 4, 6, 14, 16, 18, 20, 21, 27, 28]",11,0.3667,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9925595238095238,26.14,0.96816,18
3,"[0, 1, 3, 11, 18, 19, 21, 23, 24, 26, 27, 29]",12,0.4,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169312,34.81,0.969329,11
4,"[1, 11, 14, 17, 18, 21, 23, 24, 25]",9,0.3,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708995,32.82,0.974869,10
5,"[1, 4, 8, 19, 20, 21, 22, 24, 28]",9,0.3,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9900793650793651,30.01,0.973157,20
6,"[1, 6, 8, 9, 13, 19, 21, 23, 24, 28]",10,0.3333,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9905753968253969,31.06,0.977587,7
7,"[0, 2, 3, 5, 8, 9, 11, 14, 17, 21, 22, 23, 24, 29]",14,0.4667,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9915674603174602,31.32,0.967808,11
8,"[1, 3, 4, 7, 8, 9, 11, 16, 17, 21, 22, 23, 25, 26]",14,0.4667,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9938822751322751,27.46,0.973108,17
9,"[4, 6, 10, 11, 15, 17, 21, 23]",8,0.2667,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9861111111111112,31.88,0.977273,16
10,"[1, 2, 7, 12, 15, 16, 18, 20, 21, 25, 26]",11,0.3667,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.99619708994709,33.34,0.973316,14
11,"[1, 6, 21, 23, 24, 28]",6,0.2,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9935515873015873,30.54,0.980347,17
12,"[0, 1, 3, 4, 5, 6, 11, 12, 13, 14, 18, 19, 21, 22, 23, 27, 28, 29]",18,0.6,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9907407407407407,31.35,0.96836,3
13,"[1, 4, 20, 21, 23, 24, 26, 27, 29]",9,0.3,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9950396825396826,34.92,0.972976,19
14,"[1, 3, 4, 7, 11, 13, 14, 15, 18, 19, 21, 24, 26]",13,0.4333,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9938822751322751,30.73,0.975527,14
15,"[1, 4, 7, 9, 14, 17, 19, 21, 23, 24, 26, 28, 29]",13,0.4333,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9953703703703703,31.68,0.970309,13
16,"[0, 1, 5, 6, 11, 12, 21, 22, 24, 28]",10,0.3333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9910714285714285,30.85,0.974047,11
17,"[0, 7, 11, 14, 15, 20, 21, 22, 26, 28]",10,0.3333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9943783068783069,32.44,0.975819,15
18,"[1, 4, 6, 8, 13, 15, 17, 21, 23, 24, 26, 27, 28, 29]",14,0.4667,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9943783068783069,28.55,0.971559,18
19,"[0, 1, 2, 14, 15, 16, 19, 20, 21, 23, 24, 25]",12,0.4,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9925595238095238,29.91,0.967371,16
20,"[0, 1, 3, 4, 8, 12, 15, 16, 19, 21, 23, 24, 26]",13,0.4333,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9935515873015873,34.47,0.973878,17
21,"[6, 7, 10, 11, 14, 19, 20, 21, 24, 28, 29]",11,0.3667,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9932208994708994,36.34,0.973444,19
22,"[0, 1, 3, 4, 8, 12, 14, 20, 21, 26, 27]",11,0.3667,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9935515873015872,34.4,0.969584,13
23,"[1, 10, 15, 21, 22, 23, 24, 27]",8,0.2667,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169312,37.94,0.975474,13
24,"[4, 14, 18, 21, 22, 23, 24, 28]",8,0.2667,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9907407407407408,37.75,0.978953,9
