seed,selected_feature_indices,selected_feature_count,selected_feature_ratio,accuracy,precision,recall,f1,roc_auc,runtime_seconds
0,"[0, 1, 4, 5, 6, 10, 12, 15, 18, 21, 24, 26, 29]",13,0.4333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9875992063492064,0.109183
1,"[0, 3, 6, 8, 10, 12, 15, 20, 24, 25, 27, 28]",12,0.4,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9879298941798942,0.112512
2,"[2, 5, 6, 9, 11, 16, 17, 20, 24, 26, 27]",11,0.3667,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9914021164021164,0.118571
3,"[1, 2, 3, 4, 5, 9, 12, 15, 19, 21, 25, 26]",12,0.4,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9914021164021164,0.118684
4,"[2, 12, 13, 15, 21, 23, 24, 26, 27]",9,0.3,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9937169312169312,0.14374
5,"[0, 8, 12, 13, 14, 17, 18, 20, 29]",9,0.3,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9780092592592593,0.132743
6,"[8, 9, 10, 11, 13, 17, 22, 23, 25, 29]",10,0.3333,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9768518518518517,0.118833
7,"[0, 1, 5, 7, 11, 12, 16, 17, 19, 20, 21, 24, 26, 28]",14,0.4667,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9952050264550265,0.10952
8,"[1, 3, 4, 5, 7, 10, 12, 13, 14, 15, 16, 18, 19, 22]",14,0.4667,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9902447089947091,0.114486
9,"[3, 7, 9, 16, 19, 20, 23, 24]",8,0.2667,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9910714285714286,0.111576
10,"[4, 5, 13, 14, 15, 19, 20, 23, 24, 26, 29]",11,0.3667,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9912367724867726,0.119546
11,"[3, 13, 17, 18, 21, 25]",6,0.2,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.986441798941799,0.119101
12,"[1, 3, 4, 5, 7, 11, 12, 14, 15, 17, 18, 19, 21, 23, 25, 26, 27, 29]",18,0.6,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9971891534391535,0.120928
13,"[1, 5, 7, 19, 21, 22, 23, 26, 27]",9,0.3,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9930555555555556,0.116239
14,"[1, 2, 5, 7, 8, 13, 15, 16, 17, 21, 25, 28, 29]",13,0.4333,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9914021164021164,0.12501
15,"[1, 4, 5, 7, 11, 13, 14, 15, 16, 17, 27, 28, 29]",13,0.4333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9861111111111112,0.121243
16,"[0, 2, 9, 10, 11, 12, 14, 18, 19, 29]",10,0.3333,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9742063492063493,0.113328
17,"[1, 2, 3, 6, 10, 11, 14, 15, 18, 20]",10,0.3333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9854497354497356,0.127475
18,"[1, 4, 6, 7, 8, 14, 15, 16, 18, 19, 24, 25, 26, 27]",14,0.4667,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9862764550264551,0.118676
19,"[0, 1, 6, 7, 8, 11, 20, 21, 22, 26, 27, 29]",12,0.4,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9918981481481481,0.126026
20,"[1, 2, 5, 6, 9, 11, 13, 16, 19, 21, 23, 27, 28]",13,0.4333,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9910714285714285,0.118666
21,"[2, 6, 8, 11, 13, 16, 17, 18, 25, 27, 29]",11,0.3667,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9846230158730159,0.121095
22,"[0, 2, 4, 6, 7, 13, 14, 15, 17, 22, 29]",11,0.3667,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9900793650793651,0.11605
23,"[0, 3, 7, 10, 16, 17, 25, 29]",8,0.2667,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9912367724867726,0.117303
24,"[3, 7, 8, 10, 15, 16, 18, 21]",8,0.2667,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9867724867724867,0.116481
25,"[0, 3, 4, 5, 9, 10, 14, 17, 18, 24, 28]",11,0.3667,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9828042328042328,0.113557
26,"[1, 4, 7, 8, 9, 12, 13, 14, 16, 18, 20, 21, 26, 28, 29]",15,0.5,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9945436507936508,0.120569
27,"[0, 3, 4, 7, 9, 12, 15, 16, 24, 27]",10,0.3333,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9920634920634921,0.124925
28,"[0, 1, 2, 3, 7, 8, 11, 13, 15, 16, 17, 18, 21, 22, 24, 25, 26, 27, 28]",19,0.6333,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9915674603174603,0.116684
29,"[1, 6, 13, 15, 19, 22, 28]",7,0.2333,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9859457671957671,0.120586
